"","GAME_ID","PLAYER_ID","PLAYER_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG"
"1","0021600013","201935","James Harden","1",10,58,"Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-24,8,"1","1"
"2","0021600013","201935","James Harden","1",10,15,"Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-13,16,"1","1"
"3","0021600013","201935","James Harden","1",9,14,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-142,217,"1","1"
"4","0021600013","201935","James Harden","1",4,16,"Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,13,21,"1","0"
"5","0021600013","201935","James Harden","1",3,31,"Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,5,11,"1","1"
"6","0021600013","201935","James Harden","1",2,21,"Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0,8,"1","0"
"7","0021600013","201935","James Harden","1",0,29,"Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-139,222,"1","0"
"8","0021600013","201935","James Harden","2",4,34,"Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-3,6,"1","1"
"9","0021600013","201935","James Harden","3",10,31,"Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",24,243,1,"1","0"
"10","0021600013","201935","James Harden","3",7,48,"Made Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",13,135,36,"1","1"
"11","0021600013","201935","James Harden","3",5,44,"Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,8,8,"1","1"
"12","0021600013","201935","James Harden","3",3,6,"Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,5,21,"1","0"
"13","0021600013","201935","James Harden","3",0,57,"Made Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,-28,23,"1","1"
"14","0021600013","201935","James Harden","4",6,59,"Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-5,28,"1","1"
"15","0021600013","201935","James Harden","4",6,20,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",26,-72,258,"1","0"
"16","0021600013","201935","James Harden","4",4,10,"Missed Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,137,232,"1","0"
