"","PLAYER_ID","PLAYER_NAME","CLASS","GP","G","SHOT_TYPE","FGA_FREQUENCY","FGM","FGA","FG_PCT","EFG_PCT","FG2A_FREQUENCY","FG2M","FG2A","FG2_PCT","FG3A_FREQUENCY","FG3M","FG3A","FG3_PCT"
"1","201935","James Harden","Overall",51,51,"Overall",1,8.31,18.63,0.446,0.529,0.525,5.24,9.78,0.535,0.475,3.08,8.84,0.348
"2","201935","James Harden","GeneralShooting",51,47,"Catch and Shoot",0.128,0.96,2.39,0.402,0.59,0.006,0.06,0.12,0.5,0.122,0.9,2.27,0.397
"3","201935","James Harden","GeneralShooting",51,51,"Pull Ups",0.503,3.29,9.37,0.351,0.463,0.159,1.2,2.96,0.404,0.344,2.1,6.41,0.327
"4","201935","James Harden","GeneralShooting",51,51,"Less than 10 ft",0.359,3.96,6.69,0.592,0.592,0.359,3.96,6.69,0.592,0,0,0,NA
"5","201935","James Harden","GeneralShooting",51,9,"Other",0.009,0.1,0.18,0.556,0.778,0.001,0.02,0.02,1,0.008,0.08,0.16,0.5
"6","201935","James Harden","ShotClockShooting",51,23,"22-24",0.029,0.35,0.55,0.643,0.75,0.019,0.24,0.35,0.667,0.011,0.12,0.2,0.6
"7","201935","James Harden","ShotClockShooting",51,50,"18-22",0.162,1.71,3.02,0.565,0.685,0.075,0.98,1.39,0.704,0.087,0.73,1.63,0.446
"8","201935","James Harden","ShotClockShooting",51,49,"15-18",0.221,1.96,4.12,0.476,0.557,0.124,1.29,2.31,0.559,0.097,0.67,1.8,0.37
"9","201935","James Harden","ShotClockShooting",51,50,"07-15",0.356,2.96,6.63,0.447,0.521,0.198,1.98,3.69,0.537,0.158,0.98,2.94,0.333
"10","201935","James Harden","ShotClockShooting",51,36,"04-07",0.081,0.37,1.51,0.247,0.286,0.044,0.25,0.82,0.31,0.037,0.12,0.69,0.171
"11","201935","James Harden","ShotClockShooting",51,43,"00-04",0.101,0.55,1.88,0.292,0.365,0.044,0.27,0.82,0.333,0.057,0.27,1.06,0.259
"12","201935","James Harden","ShotClockShooting",51,24,"ShotClock Off",0.045,0.33,0.84,0.395,0.477,0.02,0.2,0.37,0.526,0.025,0.14,0.47,0.292
"13","201935","James Harden","ShotClockShooting",51,3,"Not Captured",0.004,0.08,0.08,1,1.375,0.001,0.02,0.02,1,0.003,0.06,0.06,1
"14","201935","James Harden","DribbleShooting",51,48,"0 Dribbles",0.169,1.43,3.16,0.453,0.609,0.039,0.45,0.73,0.622,0.131,0.98,2.43,0.403
"15","201935","James Harden","DribbleShooting",51,37,"1 Dribble",0.075,0.67,1.39,0.479,0.57,0.033,0.41,0.61,0.677,0.042,0.25,0.78,0.325
"16","201935","James Harden","DribbleShooting",51,38,"2 Dribbles",0.078,0.55,1.45,0.378,0.439,0.052,0.37,0.96,0.388,0.026,0.18,0.49,0.36
"17","201935","James Harden","DribbleShooting",51,50,"3-6 Dribbles",0.308,2.76,5.75,0.481,0.558,0.173,1.88,3.22,0.585,0.136,0.88,2.53,0.349
"18","201935","James Harden","DribbleShooting",51,51,"7+ Dribbles",0.369,2.9,6.88,0.422,0.479,0.229,2.12,4.27,0.495,0.14,0.78,2.61,0.301
"19","201935","James Harden","ClosestDefenderShooting",51,48,"0-2 very tight",0.151,1.35,2.8,0.483,0.514,0.124,1.18,2.31,0.508,0.026,0.18,0.49,0.36
"20","201935","James Harden","ClosestDefenderShooting",51,51,"2-4 tight",0.5,4.2,9.31,0.451,0.524,0.284,2.82,5.29,0.533,0.216,1.37,4.02,0.341
"21","201935","James Harden","ClosestDefenderShooting",51,50,"4-6 open",0.285,2.22,5.31,0.417,0.531,0.097,1,1.8,0.554,0.188,1.22,3.51,0.346
"22","201935","James Harden","ClosestDefenderShooting",51,32,"6+ wide open",0.064,0.55,1.2,0.459,0.59,0.02,0.24,0.37,0.632,0.044,0.31,0.82,0.381
"23","201935","James Harden","ClosestDefender10ftPlusShooting",51,26,"0-2 very tight",0.037,0.25,0.69,0.371,0.5,0.011,0.08,0.2,0.4,0.026,0.18,0.49,0.36
"24","201935","James Harden","ClosestDefender10ftPlusShooting",51,51,"2-4 tight",0.304,2.02,5.67,0.356,0.478,0.088,0.65,1.65,0.393,0.216,1.37,4.02,0.341
"25","201935","James Harden","ClosestDefender10ftPlusShooting",51,50,"4-6 open",0.244,1.69,4.55,0.371,0.504,0.056,0.47,1.04,0.453,0.188,1.22,3.51,0.346
"26","201935","James Harden","ClosestDefender10ftPlusShooting",51,27,"6+ wide open",0.056,0.39,1.04,0.377,0.528,0.012,0.08,0.22,0.364,0.044,0.31,0.82,0.381
"27","201935","James Harden","TouchTimeShooting",51,48,"Touch < 2 Seconds",0.197,1.71,3.67,0.465,0.612,0.056,0.63,1.04,0.604,0.141,1.08,2.63,0.41
"28","201935","James Harden","TouchTimeShooting",51,50,"Touch 2-6 Seconds",0.302,2.8,5.63,0.498,0.582,0.167,1.86,3.12,0.597,0.135,0.94,2.51,0.375
"29","201935","James Harden","TouchTimeShooting",51,51,"Touch 6+ Seconds",0.501,3.8,9.33,0.408,0.464,0.302,2.75,5.63,0.488,0.199,1.06,3.71,0.286
"30","201939","Stephen Curry","Overall",47,47,"Overall",1,8.34,17.74,0.47,0.583,0.452,4.34,8.02,0.541,0.548,4,9.72,0.411
"31","201939","Stephen Curry","GeneralShooting",47,47,"Catch and Shoot",0.3,2.57,5.32,0.484,0.696,0.032,0.32,0.57,0.556,0.267,2.26,4.74,0.475
"32","201939","Stephen Curry","GeneralShooting",47,46,"Pull Ups",0.409,2.64,7.26,0.364,0.477,0.139,1,2.47,0.405,0.27,1.64,4.79,0.342
"33","201939","Stephen Curry","GeneralShooting",47,47,"Less than 10 ft",0.281,3.02,4.98,0.607,0.607,0.281,3.02,4.98,0.607,0,0,0,NA
"34","201939","Stephen Curry","GeneralShooting",47,8,"Other",0.011,0.11,0.19,0.556,0.833,0,0,0,NA,0.011,0.11,0.19,0.556
"35","201939","Stephen Curry","ShotClockShooting",47,16,"22-24",0.029,0.26,0.51,0.5,0.542,0.018,0.21,0.32,0.667,0.011,0.04,0.19,0.222
"36","201939","Stephen Curry","ShotClockShooting",47,45,"18-22",0.237,2.15,4.21,0.51,0.664,0.082,0.85,1.45,0.588,0.156,1.3,2.77,0.469
